Company,Year,Total Assets,Total Liabilities,Revenue,Net Profit,Method,File,Status,Success Level,Currency,Unit,Language,company,year,total_assets,total_liabilities,revenue,net_profit,success_level,method,file
Aprila,2019.0,127454.0,9781.0,,,regex+table,Aprila_Bank_2019_Q1.pdf,Success,Partial(2/4),,,,,,,,,,,,
Aprila,2019.0,118429.0,6761.0,,,regex+table,Aprila_Bank_2019_Q2.pdf,Success,Partial(2/4),,,,,,,,,,,,
Aprila,2019.0,143287.0,40134.0,,,regex+table,Aprila_Bank_2019_Q3.pdf,Success,Partial(2/4),,,,,,,,,,,,
Aprila,2019.0,170.0,77.0,,,regex+table,Aprila_Bank_2019_Q4.pdf,Success,Partial(2/4),,,,,,,,,,,,
Aprila,2020.0,170447.0,90922.0,,,regex+table,Aprila_Bank_2020_Q1.pdf,Success,Partial(2/4),,,,,,,,,,,,
Aprila,2020.0,256737.0,117687.0,,,regex+table,Aprila_Bank_2020_Q2.pdf,Success,Partial(2/4),,,,,,,,,,,,
Aprila,2020.0,255956.0,128115.0,,,regex+table,Aprila_Bank_2020_Q3.pdf,Success,Partial(2/4),,,,,,,,,,,,
Aprila,2020.0,439858.0,326844.0,,,regex+table,Aprila_Bank_2020_Q4.pdf,Success,Partial(2/4),,,,,,,,,,,,
Aprila,2021.0,413983.0,316983.0,,,regex+table,Aprila_Bank_2021_Q1.pdf,Success,Partial(2/4),,,,,,,,,,,,
Aprila,2021.0,343582.0,253840.0,,,regex+table,Aprila_Bank_2021_Q2.pdf,Success,Partial(2/4),,,,,,,,,,,,
Aprila,2021.0,377964.0,293773.0,,,regex+table,Aprila_Bank_2021_Q3.pdf,Success,Partial(2/4),,,,,,,,,,,,
Aprila,2021.0,465994.0,357437.0,,,regex+table,Aprila_Bank_2021_Q4.pdf,Success,Partial(2/4),,,,,,,,,,,,
Aprila,2022.0,530007.0,426533.0,,,regex+table,Aprila_Bank_2022_Q1.pdf,Success,Partial(2/4),,,,,,,,,,,,
Aprila,2022.0,625183.0,459512.0,,,regex+table,Aprila_Bank_2022_Q2.pdf,Success,Partial(2/4),,,,,,,,,,,,
Aprila,2022.0,657399.0,495011.0,,,regex+table,Aprila_Bank_2022_Q3.pdf,Success,Partial(2/4),,,,,,,,,,,,
Aprila,2022.0,786673.0,594562.0,,,regex+table,Aprila_Bank_2022_Q4.pdf,Success,Partial(2/4),,,,,,,,,,,,
