Company,Year,Total Assets,Total Liabilities,Revenue,Net Profit,Success Level,File
ZA,2022,10715157.0,8456388.0,,-257104.0,Partial(3/4),ZA_Bank_2022_Annual.pdf
ZA,2023,13030228.0,10979394.0,20987.0,-199910.0,Complete,ZA_Bank_2023_Annual.pdf
ZA,2024,19952965.0,18042037.0,,-109258.0,Partial(3/4),ZA_Bank_2024_Annual.pdf
digibank,2020,87632242000000.0,78420930000000.0,,,Partial(2/4),digibank_DBS_Bank_2020_Annual.pdf
digibank,2020,90781028000000.0,81429070000000.0,,,Partial(2/4),digibank_DBS_Bank_2020_Q1Q2Q3.pdf
digibank,2021,85324826000000.0,75839253000000.0,,,Partial(2/4),digibank_DBS_Bank_2021_Q1.pdf
digibank,2021,86154871000000.0,76479600000000.0,,,Partial(2/4),digibank_DBS_Bank_2021_Annual.pdf
digibank,2021,84068288000000.0,74541503000000.0,,,Partial(2/4),digibank_DBS_Bank_2021_Q1Q2Q3.pdf
digibank,2021,81980431000000.0,72313541000000.0,,,Partial(2/4),digibank_DBS_Bank_2021_Q1Q2.pdf
digibank,2022,99281571000000.0,88781168000000.0,,,Partial(2/4),digibank_DBS_Bank_2022_Annual.pdf
digibank,2022,89841955000000.0,80046370000000.0,,,Partial(2/4),digibank_DBS_Bank_2022_Q1.pdf
digibank,2022,95762445000000.0,85587998000000.0,,,Partial(2/4),digibank_DBS_Bank_2022_Q1Q2.pdf
digibank,2022,99225474000000.0,88953099000000.0,,,Partial(2/4),digibank_DBS_Bank_2022_Q1Q2Q3.pdf
digibank,2023,112971991000000.0,100790732000000.0,,,Partial(2/4),digibank_DBS_Bank_2023_Annual.pdf
digibank,2023,105273539000000.0,93854541000000.0,,,Partial(2/4),digibank_DBS_Bank_2023_Q1Q2.pdf
digibank,2023,101475777000000.0,90348284000000.0,,,Partial(2/4),digibank_DBS_Bank_2023_Q1.pdf
digibank,2024,119603042000000.0,106965740000000.0,,,Partial(2/4),digibank_DBS_Bank_2024_Q1.pdf
digibank,2023,111379146000000.0,99435591000000.0,,,Partial(2/4),digibank_DBS_Bank_2023_Q1Q2Q3.pdf
digibank,2024,131553399000000.0,118549575000000.0,,,Partial(2/4),digibank_DBS_Bank_2024_Q1Q2.pdf
digibank,2024,1000000.0,1000000.0,,,Partial(2/4),digibank_DBS_Bank_2024_Q1Q2Q3.pdf
digibank,2020,87632242000000.0,78420930000000.0,,,Partial(2/4),digibank_（DBS_Bank）_2020_Annual.pdf
digibank,2021,86154871000000.0,76479600000000.0,,,Partial(2/4),digibank_（DBS_Bank）_2021_Annual.pdf
digibank,2021,81980431000000.0,72313541000000.0,,,Partial(2/4),digibank_（DBS_Bank）_2021_Q1、Q2.pdf
digibank,2021,85324826000000.0,75839253000000.0,,,Partial(2/4),digibank_（DBS_Bank）_2021_Q1.pdf
